Time of the event,Duration of the event,Event type
0, 49, CPU burst
49, 1, switch to kernel mode
50, 10, context saved
60, 1, find vector 6 in memory position 0x000C
61, 1, load address 0X0639 into the PC
62, 265, call device driver
327, 10, Context switch
337, 1, Execute IRET
338, 99, CPU burst
437, 1, switch to kernel mode
438, 10, context saved
448, 1, find vector 6 in memory position 0x000C
449, 1, load address 0X0639 into the PC
450, 265, Store information in memory
715, 10, Context switch
725, 1, Execute IRET
726, 72, CPU burst
798, 1, switch to kernel mode
799, 10, context saved
809, 1, find vector 13 in memory position 0x001A
810, 1, load address 0X06C7 into the PC
811, 636, call device driver
1447, 10, Context switch
1457, 1, Execute IRET
1458, 29, CPU burst
1487, 1, switch to kernel mode
1488, 10, context saved
1498, 1, find vector 13 in memory position 0x001A
1499, 1, load address 0X06C7 into the PC
1500, 636, Store information in memory
2136, 10, Context switch
2146, 1, Execute IRET
2147, 19, CPU burst
2166, 1, switch to kernel mode
2167, 10, context saved
2177, 1, find vector 8 in memory position 0x0010
2178, 1, load address 0X06EF into the PC
2179, 1000, call device driver
3179, 10, Context switch
3189, 1, Execute IRET
3190, 66, CPU burst
3256, 1, switch to kernel mode
3257, 10, context saved
3267, 1, find vector 8 in memory position 0x0010
3268, 1, load address 0X06EF into the PC
3269, 1000, Store information in memory
4269, 10, Context switch
4279, 1, Execute IRET
4280, 11, CPU burst
4291, 1, switch to kernel mode
4292, 10, context saved
4302, 1, find vector 4 in memory position 0x0008
4303, 1, load address 0X0292 into the PC
4304, 250, call device driver
4554, 10, Context switch
4564, 1, Execute IRET
4565, 21, CPU burst
4586, 1, switch to kernel mode
4587, 10, context saved
4597, 1, find vector 4 in memory position 0x0008
4598, 1, load address 0X0292 into the PC
4599, 250, Store information in memory
4849, 10, Context switch
4859, 1, Execute IRET
4860, 100, CPU burst
4960, 1, switch to kernel mode
4961, 10, context saved
4971, 1, find vector 18 in memory position 0x0024
4972, 1, load address 0X060A into the PC
4973, 123, call device driver
5096, 10, Context switch
5106, 1, Execute IRET
5107, 41, CPU burst
5148, 1, switch to kernel mode
5149, 10, context saved
5159, 1, find vector 18 in memory position 0x0024
5160, 1, load address 0X060A into the PC
5161, 123, Store information in memory
5284, 10, Context switch
5294, 1, Execute IRET
5295, 10, CPU burst
5305, 1, switch to kernel mode
5306, 10, context saved
5316, 1, find vector 12 in memory position 0x0018
5317, 1, load address 0X03B9 into the PC
5318, 145, call device driver
5463, 10, Context switch
5473, 1, Execute IRET
5474, 76, CPU burst
5550, 1, switch to kernel mode
5551, 10, context saved
5561, 1, find vector 12 in memory position 0x0018
5562, 1, load address 0X03B9 into the PC
5563, 145, Store information in memory
5708, 10, Context switch
5718, 1, Execute IRET
5719, 12, CPU burst
5731, 1, switch to kernel mode
5732, 10, context saved
5742, 1, find vector 15 in memory position 0x001E
5743, 1, load address 0X0584 into the PC
5744, 68, call device driver
5812, 10, Context switch
5822, 1, Execute IRET
5823, 57, CPU burst
5880, 1, switch to kernel mode
5881, 10, context saved
5891, 1, find vector 15 in memory position 0x001E
5892, 1, load address 0X0584 into the PC
5893, 68, Store information in memory
5961, 10, Context switch
5971, 1, Execute IRET
5972, 93, CPU burst
6065, 1, switch to kernel mode
6066, 10, context saved
6076, 1, find vector 11 in memory position 0x0016
6077, 1, load address 0X01F8 into the PC
6078, 523, call device driver
6601, 10, Context switch
6611, 1, Execute IRET
6612, 56, CPU burst
6668, 1, switch to kernel mode
6669, 10, context saved
6679, 1, find vector 11 in memory position 0x0016
6680, 1, load address 0X01F8 into the PC
6681, 523, Store information in memory
7204, 10, Context switch
7214, 1, Execute IRET
7215, 38, CPU burst
7253, 1, switch to kernel mode
7254, 10, context saved
7264, 1, find vector 8 in memory position 0x0010
7265, 1, load address 0X06EF into the PC
7266, 1000, call device driver
8266, 10, Context switch
8276, 1, Execute IRET
8277, 12, CPU burst
8289, 1, switch to kernel mode
8290, 10, context saved
8300, 1, find vector 8 in memory position 0x0010
8301, 1, load address 0X06EF into the PC
8302, 1000, Store information in memory
9302, 10, Context switch
9312, 1, Execute IRET
9313, 53, CPU burst
