Time of the event,Duration of the event,Event type
0, 49, CPU burst
49, 1, switch to kernel mode
50, 30, context saved
80, 1, find vector 6 in memory position 0x000C
81, 1, load address 0X0639 into the PC
82, 265, call device driver
347, 30, Context switch
377, 1, Execute IRET
378, 99, CPU burst
477, 1, switch to kernel mode
478, 30, context saved
508, 1, find vector 6 in memory position 0x000C
509, 1, load address 0X0639 into the PC
510, 265, Store information in memory
775, 30, Context switch
805, 1, Execute IRET
806, 72, CPU burst
878, 1, switch to kernel mode
879, 30, context saved
909, 1, find vector 13 in memory position 0x001A
910, 1, load address 0X06C7 into the PC
911, 636, call device driver
1547, 30, Context switch
1577, 1, Execute IRET
1578, 29, CPU burst
1607, 1, switch to kernel mode
1608, 30, context saved
1638, 1, find vector 13 in memory position 0x001A
1639, 1, load address 0X06C7 into the PC
1640, 636, Store information in memory
2276, 30, Context switch
2306, 1, Execute IRET
2307, 19, CPU burst
2326, 1, switch to kernel mode
2327, 30, context saved
2357, 1, find vector 8 in memory position 0x0010
2358, 1, load address 0X06EF into the PC
2359, 1000, call device driver
3359, 30, Context switch
3389, 1, Execute IRET
3390, 66, CPU burst
3456, 1, switch to kernel mode
3457, 30, context saved
3487, 1, find vector 8 in memory position 0x0010
3488, 1, load address 0X06EF into the PC
3489, 1000, Store information in memory
4489, 30, Context switch
4519, 1, Execute IRET
4520, 11, CPU burst
4531, 1, switch to kernel mode
4532, 30, context saved
4562, 1, find vector 4 in memory position 0x0008
4563, 1, load address 0X0292 into the PC
4564, 250, call device driver
4814, 30, Context switch
4844, 1, Execute IRET
4845, 21, CPU burst
4866, 1, switch to kernel mode
4867, 30, context saved
4897, 1, find vector 4 in memory position 0x0008
4898, 1, load address 0X0292 into the PC
4899, 250, Store information in memory
5149, 30, Context switch
5179, 1, Execute IRET
5180, 100, CPU burst
5280, 1, switch to kernel mode
5281, 30, context saved
5311, 1, find vector 18 in memory position 0x0024
5312, 1, load address 0X060A into the PC
5313, 123, call device driver
5436, 30, Context switch
5466, 1, Execute IRET
5467, 41, CPU burst
5508, 1, switch to kernel mode
5509, 30, context saved
5539, 1, find vector 18 in memory position 0x0024
5540, 1, load address 0X060A into the PC
5541, 123, Store information in memory
5664, 30, Context switch
5694, 1, Execute IRET
5695, 10, CPU burst
5705, 1, switch to kernel mode
5706, 30, context saved
5736, 1, find vector 12 in memory position 0x0018
5737, 1, load address 0X03B9 into the PC
5738, 145, call device driver
5883, 30, Context switch
5913, 1, Execute IRET
5914, 76, CPU burst
5990, 1, switch to kernel mode
5991, 30, context saved
6021, 1, find vector 12 in memory position 0x0018
6022, 1, load address 0X03B9 into the PC
6023, 145, Store information in memory
6168, 30, Context switch
6198, 1, Execute IRET
6199, 12, CPU burst
6211, 1, switch to kernel mode
6212, 30, context saved
6242, 1, find vector 15 in memory position 0x001E
6243, 1, load address 0X0584 into the PC
6244, 68, call device driver
6312, 30, Context switch
6342, 1, Execute IRET
6343, 57, CPU burst
6400, 1, switch to kernel mode
6401, 30, context saved
6431, 1, find vector 15 in memory position 0x001E
6432, 1, load address 0X0584 into the PC
6433, 68, Store information in memory
6501, 30, Context switch
6531, 1, Execute IRET
6532, 93, CPU burst
6625, 1, switch to kernel mode
6626, 30, context saved
6656, 1, find vector 11 in memory position 0x0016
6657, 1, load address 0X01F8 into the PC
6658, 523, call device driver
7181, 30, Context switch
7211, 1, Execute IRET
7212, 56, CPU burst
7268, 1, switch to kernel mode
7269, 30, context saved
7299, 1, find vector 11 in memory position 0x0016
7300, 1, load address 0X01F8 into the PC
7301, 523, Store information in memory
7824, 30, Context switch
7854, 1, Execute IRET
7855, 38, CPU burst
7893, 1, switch to kernel mode
7894, 30, context saved
7924, 1, find vector 8 in memory position 0x0010
7925, 1, load address 0X06EF into the PC
7926, 1000, call device driver
8926, 30, Context switch
8956, 1, Execute IRET
8957, 12, CPU burst
8969, 1, switch to kernel mode
8970, 30, context saved
9000, 1, find vector 8 in memory position 0x0010
9001, 1, load address 0X06EF into the PC
9002, 1000, Store information in memory
10002, 30, Context switch
10032, 1, Execute IRET
10033, 53, CPU burst
