Time of the event,Duration of the event,Event type
0, 14, CPU burst
14, 1, switch to kernel mode
15, 30, context saved
45, 1, find vector 5 in memory position 0x000A
46, 1, load address 0X048B into the PC
47, 211, call device driver
258, 30, Context switch
288, 1, Execute IRET
289, 78, CPU burst
367, 1, switch to kernel mode
368, 30, context saved
398, 1, find vector 5 in memory position 0x000A
399, 1, load address 0X048B into the PC
400, 211, Store information in memory
611, 30, Context switch
641, 1, Execute IRET
642, 84, CPU burst
726, 1, switch to kernel mode
727, 30, context saved
757, 1, find vector 16 in memory position 0x0020
758, 1, load address 0X02DF into the PC
759, 956, call device driver
1715, 30, Context switch
1745, 1, Execute IRET
1746, 70, CPU burst
1816, 1, switch to kernel mode
1817, 30, context saved
1847, 1, find vector 16 in memory position 0x0020
1848, 1, load address 0X02DF into the PC
1849, 956, Store information in memory
2805, 30, Context switch
2835, 1, Execute IRET
2836, 35, CPU burst
2871, 1, switch to kernel mode
2872, 30, context saved
2902, 1, find vector 9 in memory position 0x0012
2903, 1, load address 0X036C into the PC
2904, 156, call device driver
3060, 30, Context switch
3090, 1, Execute IRET
3091, 51, CPU burst
3142, 1, switch to kernel mode
3143, 30, context saved
3173, 1, find vector 9 in memory position 0x0012
3174, 1, load address 0X036C into the PC
3175, 156, Store information in memory
3331, 30, Context switch
3361, 1, Execute IRET
3362, 72, CPU burst
3434, 1, switch to kernel mode
3435, 30, context saved
3465, 1, find vector 2 in memory position 0x0004
3466, 1, load address 0X0695 into the PC
3467, 150, call device driver
3617, 30, Context switch
3647, 1, Execute IRET
3648, 99, CPU burst
3747, 1, switch to kernel mode
3748, 30, context saved
3778, 1, find vector 2 in memory position 0x0004
3779, 1, load address 0X0695 into the PC
3780, 150, Store information in memory
3930, 30, Context switch
3960, 1, Execute IRET
3961, 69, CPU burst
4030, 1, switch to kernel mode
4031, 30, context saved
4061, 1, find vector 11 in memory position 0x0016
4062, 1, load address 0X01F8 into the PC
4063, 523, call device driver
4586, 30, Context switch
4616, 1, Execute IRET
4617, 70, CPU burst
4687, 1, switch to kernel mode
4688, 30, context saved
4718, 1, find vector 11 in memory position 0x0016
4719, 1, load address 0X01F8 into the PC
4720, 523, Store information in memory
5243, 30, Context switch
5273, 1, Execute IRET
5274, 62, CPU burst
5336, 1, switch to kernel mode
5337, 30, context saved
5367, 1, find vector 19 in memory position 0x0026
5368, 1, load address 0X0765 into the PC
5369, 652, call device driver
6021, 30, Context switch
6051, 1, Execute IRET
6052, 34, CPU burst
6086, 1, switch to kernel mode
6087, 30, context saved
6117, 1, find vector 19 in memory position 0x0026
6118, 1, load address 0X0765 into the PC
6119, 652, Store information in memory
6771, 30, Context switch
6801, 1, Execute IRET
6802, 85, CPU burst
6887, 1, switch to kernel mode
6888, 30, context saved
6918, 1, find vector 15 in memory position 0x001E
6919, 1, load address 0X0584 into the PC
6920, 68, call device driver
6988, 30, Context switch
7018, 1, Execute IRET
7019, 73, CPU burst
7092, 1, switch to kernel mode
7093, 30, context saved
7123, 1, find vector 15 in memory position 0x001E
7124, 1, load address 0X0584 into the PC
7125, 68, Store information in memory
7193, 30, Context switch
7223, 1, Execute IRET
7224, 26, CPU burst
7250, 1, switch to kernel mode
7251, 30, context saved
7281, 1, find vector 10 in memory position 0x0014
7282, 1, load address 0X07B0 into the PC
7283, 564, call device driver
7847, 30, Context switch
7877, 1, Execute IRET
7878, 89, CPU burst
7967, 1, switch to kernel mode
7968, 30, context saved
7998, 1, find vector 10 in memory position 0x0014
7999, 1, load address 0X07B0 into the PC
8000, 564, Store information in memory
8564, 30, Context switch
8594, 1, Execute IRET
8595, 15, CPU burst
8610, 1, switch to kernel mode
8611, 30, context saved
8641, 1, find vector 7 in memory position 0x000E
8642, 1, load address 0X00BD into the PC
8643, 152, call device driver
8795, 30, Context switch
8825, 1, Execute IRET
8826, 24, CPU burst
8850, 1, switch to kernel mode
8851, 30, context saved
8881, 1, find vector 7 in memory position 0x000E
8882, 1, load address 0X00BD into the PC
8883, 152, Store information in memory
9035, 30, Context switch
9065, 1, Execute IRET
9066, 23, CPU burst
9089, 1, switch to kernel mode
9090, 30, context saved
9120, 1, find vector 10 in memory position 0x0014
9121, 1, load address 0X07B0 into the PC
9122, 564, call device driver
9686, 30, Context switch
9716, 1, Execute IRET
9717, 57, CPU burst
9774, 1, switch to kernel mode
9775, 30, context saved
9805, 1, find vector 10 in memory position 0x0014
9806, 1, load address 0X07B0 into the PC
9807, 564, Store information in memory
10371, 30, Context switch
10401, 1, Execute IRET
10402, 11, CPU burst
