Time of the event,Duration of the event,Event type
9726, 1, switch to kernel mode
9727, 20, context saved
9747, 1, find vector 13 in memory position 0x001A
9748, 1, load address 0X06C7 into the PC
9749, 636, call device driver
10385, 20, Context switch
10405, 1, Execute IRET
10406, 10, CPU burst
10416, 1, switch to kernel mode
10417, 20, context saved
10437, 1, find vector 13 in memory position 0x001A
10438, 1, load address 0X06C7 into the PC
10439, 636, Store information in memory
11075, 20, Context switch
11095, 1, Execute IRET
11096, 85, CPU burst
11181, 1, switch to kernel mode
11182, 20, context saved
11202, 1, find vector 19 in memory position 0x0026
11203, 1, load address 0X0765 into the PC
11204, 652, call device driver
11856, 20, Context switch
11876, 1, Execute IRET
11877, 81, CPU burst
11958, 1, switch to kernel mode
11959, 20, context saved
11979, 1, find vector 19 in memory position 0x0026
11980, 1, load address 0X0765 into the PC
11981, 652, Store information in memory
12633, 20, Context switch
12653, 1, Execute IRET
12654, 19, CPU burst
12673, 1, switch to kernel mode
12674, 20, context saved
12694, 1, find vector 9 in memory position 0x0012
12695, 1, load address 0X036C into the PC
12696, 156, call device driver
12852, 20, Context switch
12872, 1, Execute IRET
12873, 30, CPU burst
12903, 1, switch to kernel mode
12904, 20, context saved
12924, 1, find vector 9 in memory position 0x0012
12925, 1, load address 0X036C into the PC
12926, 156, Store information in memory
13082, 20, Context switch
13102, 1, Execute IRET
13103, 48, CPU burst
13151, 1, switch to kernel mode
13152, 20, context saved
13172, 1, find vector 3 in memory position 0x0006
13173, 1, load address 0X042B into the PC
13174, 300, call device driver
13474, 20, Context switch
13494, 1, Execute IRET
13495, 35, CPU burst
13530, 1, switch to kernel mode
13531, 20, context saved
13551, 1, find vector 3 in memory position 0x0006
13552, 1, load address 0X042B into the PC
13553, 300, Store information in memory
13853, 20, Context switch
13873, 1, Execute IRET
13874, 88, CPU burst
13962, 1, switch to kernel mode
13963, 20, context saved
13983, 1, find vector 11 in memory position 0x0016
13984, 1, load address 0X01F8 into the PC
13985, 523, call device driver
14508, 20, Context switch
14528, 1, Execute IRET
14529, 20, CPU burst
14549, 1, switch to kernel mode
14550, 20, context saved
14570, 1, find vector 11 in memory position 0x0016
14571, 1, load address 0X01F8 into the PC
14572, 523, Store information in memory
15095, 20, Context switch
15115, 1, Execute IRET
15116, 61, CPU burst
15177, 1, switch to kernel mode
15178, 20, context saved
15198, 1, find vector 1 in memory position 0x0002
15199, 1, load address 0X029C into the PC
15200, 100, call device driver
15300, 20, Context switch
15320, 1, Execute IRET
15321, 20, CPU burst
15341, 1, switch to kernel mode
15342, 20, context saved
15362, 1, find vector 1 in memory position 0x0002
15363, 1, load address 0X029C into the PC
15364, 100, Store information in memory
15464, 20, Context switch
15484, 1, Execute IRET
15485, 48, CPU burst
15533, 1, switch to kernel mode
15534, 20, context saved
15554, 1, find vector 1 in memory position 0x0002
15555, 1, load address 0X029C into the PC
15556, 100, call device driver
15656, 20, Context switch
15676, 1, Execute IRET
15677, 33, CPU burst
15710, 1, switch to kernel mode
15711, 20, context saved
15731, 1, find vector 1 in memory position 0x0002
15732, 1, load address 0X029C into the PC
15733, 100, Store information in memory
15833, 20, Context switch
15853, 1, Execute IRET
15854, 91, CPU burst
15945, 1, switch to kernel mode
15946, 20, context saved
15966, 1, find vector 14 in memory position 0x001C
15967, 1, load address 0X0165 into the PC
15968, 456, call device driver
16424, 20, Context switch
16444, 1, Execute IRET
16445, 41, CPU burst
16486, 1, switch to kernel mode
16487, 20, context saved
16507, 1, find vector 14 in memory position 0x001C
16508, 1, load address 0X0165 into the PC
16509, 456, Store information in memory
16965, 20, Context switch
16985, 1, Execute IRET
16986, 99, CPU burst
17085, 1, switch to kernel mode
17086, 20, context saved
17106, 1, find vector 3 in memory position 0x0006
17107, 1, load address 0X042B into the PC
17108, 300, call device driver
17408, 20, Context switch
17428, 1, Execute IRET
17429, 50, CPU burst
17479, 1, switch to kernel mode
17480, 20, context saved
17500, 1, find vector 3 in memory position 0x0006
17501, 1, load address 0X042B into the PC
17502, 300, Store information in memory
17802, 20, Context switch
17822, 1, Execute IRET
17823, 22, CPU burst
17845, 1, switch to kernel mode
17846, 20, context saved
17866, 1, find vector 17 in memory position 0x0022
17867, 1, load address 0X05B3 into the PC
17868, 235, call device driver
18103, 20, Context switch
18123, 1, Execute IRET
18124, 66, CPU burst
18190, 1, switch to kernel mode
18191, 20, context saved
18211, 1, find vector 17 in memory position 0x0022
18212, 1, load address 0X05B3 into the PC
18213, 235, Store information in memory
18448, 20, Context switch
18468, 1, Execute IRET
18469, 55, CPU burst
18524, 1, switch to kernel mode
18525, 20, context saved
18545, 1, find vector 14 in memory position 0x001C
18546, 1, load address 0X0165 into the PC
18547, 456, call device driver
19003, 20, Context switch
19023, 1, Execute IRET
19024, 80, CPU burst
19104, 1, switch to kernel mode
19105, 20, context saved
19125, 1, find vector 14 in memory position 0x001C
19126, 1, load address 0X0165 into the PC
19127, 456, Store information in memory
19583, 20, Context switch
19603, 1, Execute IRET
19604, 51, CPU burst
19655, 1, switch to kernel mode
19656, 20, context saved
19676, 1, find vector 15 in memory position 0x001E
19677, 1, load address 0X0584 into the PC
19678, 68, call device driver
19746, 20, Context switch
19766, 1, Execute IRET
19767, 61, CPU burst
19828, 1, switch to kernel mode
19829, 20, context saved
19849, 1, find vector 15 in memory position 0x001E
19850, 1, load address 0X0584 into the PC
19851, 68, Store information in memory
19919, 20, Context switch
19939, 1, Execute IRET
19940, 39, CPU burst
19979, 1, switch to kernel mode
19980, 20, context saved
20000, 1, find vector 17 in memory position 0x0022
20001, 1, load address 0X05B3 into the PC
20002, 235, call device driver
20237, 20, Context switch
20257, 1, Execute IRET
20258, 80, CPU burst
20338, 1, switch to kernel mode
20339, 20, context saved
20359, 1, find vector 17 in memory position 0x0022
20360, 1, load address 0X05B3 into the PC
20361, 235, Store information in memory
20596, 20, Context switch
20616, 1, Execute IRET
20617, 96, CPU burst
20713, 1, switch to kernel mode
20714, 20, context saved
20734, 1, find vector 19 in memory position 0x0026
20735, 1, load address 0X0765 into the PC
20736, 652, call device driver
21388, 20, Context switch
21408, 1, Execute IRET
21409, 88, CPU burst
21497, 1, switch to kernel mode
21498, 20, context saved
21518, 1, find vector 19 in memory position 0x0026
21519, 1, load address 0X0765 into the PC
21520, 652, Store information in memory
22172, 20, Context switch
22192, 1, Execute IRET
22193, 97, CPU burst
22290, 1, switch to kernel mode
22291, 20, context saved
22311, 1, find vector 8 in memory position 0x0010
22312, 1, load address 0X06EF into the PC
22313, 1000, call device driver
23313, 20, Context switch
23333, 1, Execute IRET
23334, 39, CPU burst
23373, 1, switch to kernel mode
23374, 20, context saved
23394, 1, find vector 8 in memory position 0x0010
23395, 1, load address 0X06EF into the PC
23396, 1000, Store information in memory
24396, 20, Context switch
24416, 1, Execute IRET
24417, 30, CPU burst
24447, 1, switch to kernel mode
24448, 20, context saved
24468, 1, find vector 4 in memory position 0x0008
24469, 1, load address 0X0292 into the PC
24470, 250, call device driver
24720, 20, Context switch
24740, 1, Execute IRET
24741, 77, CPU burst
24818, 1, switch to kernel mode
24819, 20, context saved
24839, 1, find vector 4 in memory position 0x0008
24840, 1, load address 0X0292 into the PC
24841, 250, Store information in memory
25091, 20, Context switch
25111, 1, Execute IRET
25112, 85, CPU burst
25197, 1, switch to kernel mode
25198, 20, context saved
25218, 1, find vector 13 in memory position 0x001A
25219, 1, load address 0X06C7 into the PC
25220, 636, call device driver
25856, 20, Context switch
25876, 1, Execute IRET
25877, 47, CPU burst
25924, 1, switch to kernel mode
25925, 20, context saved
25945, 1, find vector 13 in memory position 0x001A
25946, 1, load address 0X06C7 into the PC
25947, 636, Store information in memory
26583, 20, Context switch
26603, 1, Execute IRET
26604, 18, CPU burst
26622, 1, switch to kernel mode
26623, 20, context saved
26643, 1, find vector 20 in memory position 0x0028
26644, 1, load address 0X07B7 into the PC
26645, 0, call device driver
26645, 20, Context switch
26665, 1, Execute IRET
26666, 44, CPU burst
26710, 1, switch to kernel mode
26711, 20, context saved
26731, 1, find vector 20 in memory position 0x0028
26732, 1, load address 0X07B7 into the PC
26733, 0, Store information in memory
26733, 20, Context switch
26753, 1, Execute IRET
26754, 53, CPU burst
26807, 1, switch to kernel mode
26808, 20, context saved
26828, 1, find vector 6 in memory position 0x000C
26829, 1, load address 0X0639 into the PC
26830, 265, call device driver
27095, 20, Context switch
27115, 1, Execute IRET
27116, 69, CPU burst
27185, 1, switch to kernel mode
27186, 20, context saved
27206, 1, find vector 6 in memory position 0x000C
27207, 1, load address 0X0639 into the PC
27208, 265, Store information in memory
27473, 20, Context switch
27493, 1, Execute IRET
27494, 72, CPU burst
27566, 1, switch to kernel mode
27567, 20, context saved
27587, 1, find vector 4 in memory position 0x0008
27588, 1, load address 0X0292 into the PC
27589, 250, call device driver
27839, 20, Context switch
27859, 1, Execute IRET
27860, 25, CPU burst
27885, 1, switch to kernel mode
27886, 20, context saved
27906, 1, find vector 4 in memory position 0x0008
27907, 1, load address 0X0292 into the PC
27908, 250, Store information in memory
28158, 20, Context switch
28178, 1, Execute IRET
28179, 87, CPU burst
28266, 1, switch to kernel mode
28267, 20, context saved
28287, 1, find vector 5 in memory position 0x000A
28288, 1, load address 0X048B into the PC
28289, 211, call device driver
28500, 20, Context switch
28520, 1, Execute IRET
28521, 63, CPU burst
28584, 1, switch to kernel mode
28585, 20, context saved
28605, 1, find vector 5 in memory position 0x000A
28606, 1, load address 0X048B into the PC
28607, 211, Store information in memory
28818, 20, Context switch
28838, 1, Execute IRET
28839, 11, CPU burst
28850, 1, switch to kernel mode
28851, 20, context saved
28871, 1, find vector 15 in memory position 0x001E
28872, 1, load address 0X0584 into the PC
28873, 68, call device driver
28941, 20, Context switch
28961, 1, Execute IRET
28962, 74, CPU burst
29036, 1, switch to kernel mode
29037, 20, context saved
29057, 1, find vector 15 in memory position 0x001E
29058, 1, load address 0X0584 into the PC
29059, 68, Store information in memory
29127, 20, Context switch
29147, 1, Execute IRET
29148, 19, CPU burst
29167, 1, switch to kernel mode
29168, 20, context saved
29188, 1, find vector 4 in memory position 0x0008
29189, 1, load address 0X0292 into the PC
29190, 250, call device driver
29440, 20, Context switch
29460, 1, Execute IRET
29461, 69, CPU burst
29530, 1, switch to kernel mode
29531, 20, context saved
29551, 1, find vector 4 in memory position 0x0008
29552, 1, load address 0X0292 into the PC
29553, 250, Store information in memory
29803, 20, Context switch
29823, 1, Execute IRET
29824, 50, CPU burst
29874, 1, switch to kernel mode
29875, 20, context saved
29895, 1, find vector 5 in memory position 0x000A
29896, 1, load address 0X048B into the PC
29897, 211, call device driver
30108, 20, Context switch
30128, 1, Execute IRET
30129, 28, CPU burst
30157, 1, switch to kernel mode
30158, 20, context saved
30178, 1, find vector 5 in memory position 0x000A
30179, 1, load address 0X048B into the PC
30180, 211, Store information in memory
30391, 20, Context switch
30411, 1, Execute IRET
30412, 23, CPU burst
