Time of the event,Duration of the event,Event type
0, 49, CPU burst
49, 1, switch to kernel mode
50, 20, context saved
70, 1, find vector 6 in memory position 0x000C
71, 1, load address 0X0639 into the PC
72, 265, call device driver
337, 20, Context switch
357, 1, Execute IRET
358, 99, CPU burst
457, 1, switch to kernel mode
458, 20, context saved
478, 1, find vector 6 in memory position 0x000C
479, 1, load address 0X0639 into the PC
480, 265, Store information in memory
745, 20, Context switch
765, 1, Execute IRET
766, 72, CPU burst
838, 1, switch to kernel mode
839, 20, context saved
859, 1, find vector 13 in memory position 0x001A
860, 1, load address 0X06C7 into the PC
861, 636, call device driver
1497, 20, Context switch
1517, 1, Execute IRET
1518, 29, CPU burst
1547, 1, switch to kernel mode
1548, 20, context saved
1568, 1, find vector 13 in memory position 0x001A
1569, 1, load address 0X06C7 into the PC
1570, 636, Store information in memory
2206, 20, Context switch
2226, 1, Execute IRET
2227, 19, CPU burst
2246, 1, switch to kernel mode
2247, 20, context saved
2267, 1, find vector 8 in memory position 0x0010
2268, 1, load address 0X06EF into the PC
2269, 1000, call device driver
3269, 20, Context switch
3289, 1, Execute IRET
3290, 66, CPU burst
3356, 1, switch to kernel mode
3357, 20, context saved
3377, 1, find vector 8 in memory position 0x0010
3378, 1, load address 0X06EF into the PC
3379, 1000, Store information in memory
4379, 20, Context switch
4399, 1, Execute IRET
4400, 11, CPU burst
4411, 1, switch to kernel mode
4412, 20, context saved
4432, 1, find vector 4 in memory position 0x0008
4433, 1, load address 0X0292 into the PC
4434, 250, call device driver
4684, 20, Context switch
4704, 1, Execute IRET
4705, 21, CPU burst
4726, 1, switch to kernel mode
4727, 20, context saved
4747, 1, find vector 4 in memory position 0x0008
4748, 1, load address 0X0292 into the PC
4749, 250, Store information in memory
4999, 20, Context switch
5019, 1, Execute IRET
5020, 100, CPU burst
5120, 1, switch to kernel mode
5121, 20, context saved
5141, 1, find vector 18 in memory position 0x0024
5142, 1, load address 0X060A into the PC
5143, 123, call device driver
5266, 20, Context switch
5286, 1, Execute IRET
5287, 41, CPU burst
5328, 1, switch to kernel mode
5329, 20, context saved
5349, 1, find vector 18 in memory position 0x0024
5350, 1, load address 0X060A into the PC
5351, 123, Store information in memory
5474, 20, Context switch
5494, 1, Execute IRET
5495, 10, CPU burst
5505, 1, switch to kernel mode
5506, 20, context saved
5526, 1, find vector 12 in memory position 0x0018
5527, 1, load address 0X03B9 into the PC
5528, 145, call device driver
5673, 20, Context switch
5693, 1, Execute IRET
5694, 76, CPU burst
5770, 1, switch to kernel mode
5771, 20, context saved
5791, 1, find vector 12 in memory position 0x0018
5792, 1, load address 0X03B9 into the PC
5793, 145, Store information in memory
5938, 20, Context switch
5958, 1, Execute IRET
5959, 12, CPU burst
5971, 1, switch to kernel mode
5972, 20, context saved
5992, 1, find vector 15 in memory position 0x001E
5993, 1, load address 0X0584 into the PC
5994, 68, call device driver
6062, 20, Context switch
6082, 1, Execute IRET
6083, 57, CPU burst
6140, 1, switch to kernel mode
6141, 20, context saved
6161, 1, find vector 15 in memory position 0x001E
6162, 1, load address 0X0584 into the PC
6163, 68, Store information in memory
6231, 20, Context switch
6251, 1, Execute IRET
6252, 93, CPU burst
6345, 1, switch to kernel mode
6346, 20, context saved
6366, 1, find vector 11 in memory position 0x0016
6367, 1, load address 0X01F8 into the PC
6368, 523, call device driver
6891, 20, Context switch
6911, 1, Execute IRET
6912, 56, CPU burst
6968, 1, switch to kernel mode
6969, 20, context saved
6989, 1, find vector 11 in memory position 0x0016
6990, 1, load address 0X01F8 into the PC
6991, 523, Store information in memory
7514, 20, Context switch
7534, 1, Execute IRET
7535, 38, CPU burst
7573, 1, switch to kernel mode
7574, 20, context saved
7594, 1, find vector 8 in memory position 0x0010
7595, 1, load address 0X06EF into the PC
7596, 1000, call device driver
8596, 20, Context switch
8616, 1, Execute IRET
8617, 12, CPU burst
8629, 1, switch to kernel mode
8630, 20, context saved
8650, 1, find vector 8 in memory position 0x0010
8651, 1, load address 0X06EF into the PC
8652, 1000, Store information in memory
9652, 20, Context switch
9672, 1, Execute IRET
9673, 53, CPU burst
