Time of the event,Duration of the event,Event type
0, 86, CPU burst
86, 1, switch to kernel mode
87, 20, context saved
107, 1, find vector 9 in memory position 0x0012
108, 1, load address 0X036C into the PC
109, 156, call device driver
265, 20, Context switch
285, 1, Execute IRET
286, 61, CPU burst
347, 1, switch to kernel mode
348, 20, context saved
368, 1, find vector 9 in memory position 0x0012
369, 1, load address 0X036C into the PC
370, 156, Store information in memory
526, 20, Context switch
546, 1, Execute IRET
547, 27, CPU burst
574, 1, switch to kernel mode
575, 20, context saved
595, 1, find vector 17 in memory position 0x0022
596, 1, load address 0X05B3 into the PC
597, 235, call device driver
832, 20, Context switch
852, 1, Execute IRET
853, 19, CPU burst
872, 1, switch to kernel mode
873, 20, context saved
893, 1, find vector 17 in memory position 0x0022
894, 1, load address 0X05B3 into the PC
895, 235, Store information in memory
1130, 20, Context switch
1150, 1, Execute IRET
1151, 92, CPU burst
1243, 1, switch to kernel mode
1244, 20, context saved
1264, 1, find vector 8 in memory position 0x0010
1265, 1, load address 0X06EF into the PC
1266, 1000, call device driver
2266, 20, Context switch
2286, 1, Execute IRET
2287, 36, CPU burst
2323, 1, switch to kernel mode
2324, 20, context saved
2344, 1, find vector 8 in memory position 0x0010
2345, 1, load address 0X06EF into the PC
2346, 1000, Store information in memory
3346, 20, Context switch
3366, 1, Execute IRET
3367, 19, CPU burst
3386, 1, switch to kernel mode
3387, 20, context saved
3407, 1, find vector 1 in memory position 0x0002
3408, 1, load address 0X029C into the PC
3409, 100, call device driver
3509, 20, Context switch
3529, 1, Execute IRET
3530, 33, CPU burst
3563, 1, switch to kernel mode
3564, 20, context saved
3584, 1, find vector 1 in memory position 0x0002
3585, 1, load address 0X029C into the PC
3586, 100, Store information in memory
3686, 20, Context switch
3706, 1, Execute IRET
3707, 90, CPU burst
3797, 1, switch to kernel mode
3798, 20, context saved
3818, 1, find vector 20 in memory position 0x0028
3819, 1, load address 0X07B7 into the PC
3820, 0, call device driver
3820, 20, Context switch
3840, 1, Execute IRET
3841, 13, CPU burst
3854, 1, switch to kernel mode
3855, 20, context saved
3875, 1, find vector 20 in memory position 0x0028
3876, 1, load address 0X07B7 into the PC
3877, 0, Store information in memory
3877, 20, Context switch
3897, 1, Execute IRET
3898, 12, CPU burst
3910, 1, switch to kernel mode
3911, 20, context saved
3931, 1, find vector 13 in memory position 0x001A
3932, 1, load address 0X06C7 into the PC
3933, 636, call device driver
4569, 20, Context switch
4589, 1, Execute IRET
4590, 23, CPU burst
4613, 1, switch to kernel mode
4614, 20, context saved
4634, 1, find vector 13 in memory position 0x001A
4635, 1, load address 0X06C7 into the PC
4636, 636, Store information in memory
5272, 20, Context switch
5292, 1, Execute IRET
5293, 51, CPU burst
5344, 1, switch to kernel mode
5345, 20, context saved
5365, 1, find vector 10 in memory position 0x0014
5366, 1, load address 0X07B0 into the PC
5367, 564, call device driver
5931, 20, Context switch
5951, 1, Execute IRET
5952, 49, CPU burst
6001, 1, switch to kernel mode
6002, 20, context saved
6022, 1, find vector 10 in memory position 0x0014
6023, 1, load address 0X07B0 into the PC
6024, 564, Store information in memory
6588, 20, Context switch
6608, 1, Execute IRET
6609, 87, CPU burst
6696, 1, switch to kernel mode
6697, 20, context saved
6717, 1, find vector 5 in memory position 0x000A
6718, 1, load address 0X048B into the PC
6719, 211, call device driver
6930, 20, Context switch
6950, 1, Execute IRET
6951, 55, CPU burst
7006, 1, switch to kernel mode
7007, 20, context saved
