Time of the event,Duration of the event,Event type
12448, 1, switch to kernel mode
12449, 30, context saved
12479, 1, find vector 8 in memory position 0x0010
12480, 1, load address 0X06EF into the PC
12481, 1000, call device driver
13481, 30, Context switch
13511, 1, Execute IRET
13512, 82, CPU burst
13594, 1, switch to kernel mode
13595, 30, context saved
13625, 1, find vector 8 in memory position 0x0010
13626, 1, load address 0X06EF into the PC
13627, 1000, Store information in memory
14627, 30, Context switch
14657, 1, Execute IRET
14658, 99, CPU burst
14757, 1, switch to kernel mode
14758, 30, context saved
14788, 1, find vector 18 in memory position 0x0024
14789, 1, load address 0X060A into the PC
14790, 123, call device driver
14913, 30, Context switch
14943, 1, Execute IRET
14944, 65, CPU burst
15009, 1, switch to kernel mode
15010, 30, context saved
15040, 1, find vector 18 in memory position 0x0024
15041, 1, load address 0X060A into the PC
15042, 123, Store information in memory
15165, 30, Context switch
15195, 1, Execute IRET
15196, 24, CPU burst
15220, 1, switch to kernel mode
15221, 30, context saved
15251, 1, find vector 12 in memory position 0x0018
15252, 1, load address 0X03B9 into the PC
15253, 145, call device driver
15398, 30, Context switch
15428, 1, Execute IRET
15429, 26, CPU burst
15455, 1, switch to kernel mode
15456, 30, context saved
15486, 1, find vector 12 in memory position 0x0018
15487, 1, load address 0X03B9 into the PC
15488, 145, Store information in memory
15633, 30, Context switch
15663, 1, Execute IRET
15664, 54, CPU burst
15718, 1, switch to kernel mode
15719, 30, context saved
15749, 1, find vector 11 in memory position 0x0016
15750, 1, load address 0X01F8 into the PC
15751, 523, call device driver
16274, 30, Context switch
16304, 1, Execute IRET
16305, 78, CPU burst
16383, 1, switch to kernel mode
16384, 30, context saved
16414, 1, find vector 11 in memory position 0x0016
16415, 1, load address 0X01F8 into the PC
16416, 523, Store information in memory
16939, 30, Context switch
16969, 1, Execute IRET
16970, 66, CPU burst
17036, 1, switch to kernel mode
17037, 30, context saved
17067, 1, find vector 15 in memory position 0x001E
17068, 1, load address 0X0584 into the PC
17069, 68, call device driver
17137, 30, Context switch
17167, 1, Execute IRET
17168, 79, CPU burst
17247, 1, switch to kernel mode
17248, 30, context saved
17278, 1, find vector 15 in memory position 0x001E
17279, 1, load address 0X0584 into the PC
17280, 68, Store information in memory
17348, 30, Context switch
17378, 1, Execute IRET
17379, 82, CPU burst
17461, 1, switch to kernel mode
17462, 30, context saved
17492, 1, find vector 4 in memory position 0x0008
17493, 1, load address 0X0292 into the PC
17494, 250, call device driver
17744, 30, Context switch
17774, 1, Execute IRET
17775, 88, CPU burst
17863, 1, switch to kernel mode
17864, 30, context saved
17894, 1, find vector 4 in memory position 0x0008
17895, 1, load address 0X0292 into the PC
17896, 250, Store information in memory
18146, 30, Context switch
18176, 1, Execute IRET
18177, 16, CPU burst
18193, 1, switch to kernel mode
18194, 30, context saved
18224, 1, find vector 8 in memory position 0x0010
18225, 1, load address 0X06EF into the PC
18226, 1000, call device driver
19226, 30, Context switch
19256, 1, Execute IRET
19257, 26, CPU burst
19283, 1, switch to kernel mode
19284, 30, context saved
19314, 1, find vector 8 in memory position 0x0010
19315, 1, load address 0X06EF into the PC
19316, 1000, Store information in memory
20316, 30, Context switch
20346, 1, Execute IRET
20347, 22, CPU burst
20369, 1, switch to kernel mode
20370, 30, context saved
20400, 1, find vector 18 in memory position 0x0024
20401, 1, load address 0X060A into the PC
20402, 123, call device driver
20525, 30, Context switch
20555, 1, Execute IRET
20556, 95, CPU burst
20651, 1, switch to kernel mode
20652, 30, context saved
20682, 1, find vector 18 in memory position 0x0024
20683, 1, load address 0X060A into the PC
20684, 123, Store information in memory
20807, 30, Context switch
20837, 1, Execute IRET
20838, 63, CPU burst
20901, 1, switch to kernel mode
20902, 30, context saved
20932, 1, find vector 18 in memory position 0x0024
20933, 1, load address 0X060A into the PC
20934, 123, call device driver
21057, 30, Context switch
21087, 1, Execute IRET
21088, 18, CPU burst
21106, 1, switch to kernel mode
21107, 30, context saved
21137, 1, find vector 18 in memory position 0x0024
21138, 1, load address 0X060A into the PC
21139, 123, Store information in memory
21262, 30, Context switch
21292, 1, Execute IRET
21293, 50, CPU burst
21343, 1, switch to kernel mode
21344, 30, context saved
21374, 1, find vector 14 in memory position 0x001C
21375, 1, load address 0X0165 into the PC
21376, 456, call device driver
21832, 30, Context switch
21862, 1, Execute IRET
21863, 56, CPU burst
21919, 1, switch to kernel mode
21920, 30, context saved
21950, 1, find vector 14 in memory position 0x001C
21951, 1, load address 0X0165 into the PC
21952, 456, Store information in memory
22408, 30, Context switch
22438, 1, Execute IRET
22439, 83, CPU burst
22522, 1, switch to kernel mode
22523, 30, context saved
22553, 1, find vector 16 in memory position 0x0020
22554, 1, load address 0X02DF into the PC
22555, 956, call device driver
23511, 30, Context switch
23541, 1, Execute IRET
23542, 23, CPU burst
23565, 1, switch to kernel mode
23566, 30, context saved
23596, 1, find vector 16 in memory position 0x0020
23597, 1, load address 0X02DF into the PC
23598, 956, Store information in memory
24554, 30, Context switch
24584, 1, Execute IRET
24585, 80, CPU burst
24665, 1, switch to kernel mode
24666, 30, context saved
24696, 1, find vector 15 in memory position 0x001E
24697, 1, load address 0X0584 into the PC
24698, 68, call device driver
24766, 30, Context switch
24796, 1, Execute IRET
24797, 98, CPU burst
24895, 1, switch to kernel mode
24896, 30, context saved
24926, 1, find vector 15 in memory position 0x001E
24927, 1, load address 0X0584 into the PC
24928, 68, Store information in memory
24996, 30, Context switch
25026, 1, Execute IRET
25027, 77, CPU burst
25104, 1, switch to kernel mode
25105, 30, context saved
25135, 1, find vector 14 in memory position 0x001C
25136, 1, load address 0X0165 into the PC
25137, 456, call device driver
25593, 30, Context switch
25623, 1, Execute IRET
25624, 11, CPU burst
25635, 1, switch to kernel mode
25636, 30, context saved
25666, 1, find vector 14 in memory position 0x001C
25667, 1, load address 0X0165 into the PC
25668, 456, Store information in memory
26124, 30, Context switch
26154, 1, Execute IRET
26155, 61, CPU burst
26216, 1, switch to kernel mode
26217, 30, context saved
26247, 1, find vector 14 in memory position 0x001C
26248, 1, load address 0X0165 into the PC
26249, 456, call device driver
26705, 30, Context switch
26735, 1, Execute IRET
26736, 34, CPU burst
26770, 1, switch to kernel mode
26771, 30, context saved
26801, 1, find vector 14 in memory position 0x001C
26802, 1, load address 0X0165 into the PC
26803, 456, Store information in memory
27259, 30, Context switch
27289, 1, Execute IRET
27290, 32, CPU burst
27322, 1, switch to kernel mode
27323, 30, context saved
27353, 1, find vector 7 in memory position 0x000E
27354, 1, load address 0X00BD into the PC
27355, 152, call device driver
27507, 30, Context switch
27537, 1, Execute IRET
27538, 69, CPU burst
27607, 1, switch to kernel mode
27608, 30, context saved
27638, 1, find vector 7 in memory position 0x000E
27639, 1, load address 0X00BD into the PC
27640, 152, Store information in memory
27792, 30, Context switch
27822, 1, Execute IRET
27823, 79, CPU burst
27902, 1, switch to kernel mode
27903, 30, context saved
27933, 1, find vector 20 in memory position 0x0028
27934, 1, load address 0X07B7 into the PC
27935, 0, call device driver
27935, 30, Context switch
27965, 1, Execute IRET
27966, 41, CPU burst
28007, 1, switch to kernel mode
28008, 30, context saved
28038, 1, find vector 20 in memory position 0x0028
28039, 1, load address 0X07B7 into the PC
28040, 0, Store information in memory
28040, 30, Context switch
28070, 1, Execute IRET
28071, 63, CPU burst
28134, 1, switch to kernel mode
28135, 30, context saved
28165, 1, find vector 7 in memory position 0x000E
28166, 1, load address 0X00BD into the PC
28167, 152, call device driver
28319, 30, Context switch
28349, 1, Execute IRET
28350, 27, CPU burst
28377, 1, switch to kernel mode
28378, 30, context saved
28408, 1, find vector 7 in memory position 0x000E
28409, 1, load address 0X00BD into the PC
28410, 152, Store information in memory
28562, 30, Context switch
28592, 1, Execute IRET
28593, 85, CPU burst
