Time of the event,Duration of the event,Event type
0, 14, CPU burst
14, 1, switch to kernel mode
15, 20, context saved
35, 1, find vector 5 in memory position 0x000A
36, 1, load address 0X048B into the PC
37, 211, call device driver
248, 20, Context switch
268, 1, Execute IRET
269, 78, CPU burst
347, 1, switch to kernel mode
348, 20, context saved
368, 1, find vector 5 in memory position 0x000A
369, 1, load address 0X048B into the PC
370, 211, Store information in memory
581, 20, Context switch
601, 1, Execute IRET
602, 84, CPU burst
686, 1, switch to kernel mode
687, 20, context saved
707, 1, find vector 16 in memory position 0x0020
708, 1, load address 0X02DF into the PC
709, 956, call device driver
1665, 20, Context switch
1685, 1, Execute IRET
1686, 70, CPU burst
1756, 1, switch to kernel mode
1757, 20, context saved
1777, 1, find vector 16 in memory position 0x0020
1778, 1, load address 0X02DF into the PC
1779, 956, Store information in memory
2735, 20, Context switch
2755, 1, Execute IRET
2756, 35, CPU burst
2791, 1, switch to kernel mode
2792, 20, context saved
2812, 1, find vector 9 in memory position 0x0012
2813, 1, load address 0X036C into the PC
2814, 156, call device driver
2970, 20, Context switch
2990, 1, Execute IRET
2991, 51, CPU burst
3042, 1, switch to kernel mode
3043, 20, context saved
3063, 1, find vector 9 in memory position 0x0012
3064, 1, load address 0X036C into the PC
3065, 156, Store information in memory
3221, 20, Context switch
3241, 1, Execute IRET
3242, 72, CPU burst
3314, 1, switch to kernel mode
3315, 20, context saved
3335, 1, find vector 2 in memory position 0x0004
3336, 1, load address 0X0695 into the PC
3337, 150, call device driver
3487, 20, Context switch
3507, 1, Execute IRET
3508, 99, CPU burst
3607, 1, switch to kernel mode
3608, 20, context saved
3628, 1, find vector 2 in memory position 0x0004
3629, 1, load address 0X0695 into the PC
3630, 150, Store information in memory
3780, 20, Context switch
3800, 1, Execute IRET
3801, 69, CPU burst
3870, 1, switch to kernel mode
3871, 20, context saved
3891, 1, find vector 11 in memory position 0x0016
3892, 1, load address 0X01F8 into the PC
3893, 523, call device driver
4416, 20, Context switch
4436, 1, Execute IRET
4437, 70, CPU burst
4507, 1, switch to kernel mode
4508, 20, context saved
4528, 1, find vector 11 in memory position 0x0016
4529, 1, load address 0X01F8 into the PC
4530, 523, Store information in memory
5053, 20, Context switch
5073, 1, Execute IRET
5074, 62, CPU burst
5136, 1, switch to kernel mode
5137, 20, context saved
5157, 1, find vector 19 in memory position 0x0026
5158, 1, load address 0X0765 into the PC
5159, 652, call device driver
5811, 20, Context switch
5831, 1, Execute IRET
5832, 34, CPU burst
5866, 1, switch to kernel mode
5867, 20, context saved
5887, 1, find vector 19 in memory position 0x0026
5888, 1, load address 0X0765 into the PC
5889, 652, Store information in memory
6541, 20, Context switch
6561, 1, Execute IRET
6562, 85, CPU burst
6647, 1, switch to kernel mode
6648, 20, context saved
6668, 1, find vector 15 in memory position 0x001E
6669, 1, load address 0X0584 into the PC
6670, 68, call device driver
6738, 20, Context switch
6758, 1, Execute IRET
6759, 73, CPU burst
6832, 1, switch to kernel mode
6833, 20, context saved
6853, 1, find vector 15 in memory position 0x001E
6854, 1, load address 0X0584 into the PC
6855, 68, Store information in memory
6923, 20, Context switch
6943, 1, Execute IRET
6944, 26, CPU burst
6970, 1, switch to kernel mode
6971, 20, context saved
6991, 1, find vector 10 in memory position 0x0014
6992, 1, load address 0X07B0 into the PC
6993, 564, call device driver
7557, 20, Context switch
7577, 1, Execute IRET
7578, 89, CPU burst
7667, 1, switch to kernel mode
7668, 20, context saved
7688, 1, find vector 10 in memory position 0x0014
7689, 1, load address 0X07B0 into the PC
7690, 564, Store information in memory
8254, 20, Context switch
8274, 1, Execute IRET
8275, 15, CPU burst
8290, 1, switch to kernel mode
8291, 20, context saved
8311, 1, find vector 7 in memory position 0x000E
8312, 1, load address 0X00BD into the PC
8313, 152, call device driver
8465, 20, Context switch
8485, 1, Execute IRET
8486, 24, CPU burst
8510, 1, switch to kernel mode
8511, 20, context saved
8531, 1, find vector 7 in memory position 0x000E
8532, 1, load address 0X00BD into the PC
8533, 152, Store information in memory
8685, 20, Context switch
8705, 1, Execute IRET
8706, 23, CPU burst
8729, 1, switch to kernel mode
8730, 20, context saved
8750, 1, find vector 10 in memory position 0x0014
8751, 1, load address 0X07B0 into the PC
8752, 564, call device driver
9316, 20, Context switch
9336, 1, Execute IRET
9337, 57, CPU burst
9394, 1, switch to kernel mode
9395, 20, context saved
9415, 1, find vector 10 in memory position 0x0014
9416, 1, load address 0X07B0 into the PC
9417, 564, Store information in memory
9981, 20, Context switch
10001, 1, Execute IRET
10002, 11, CPU burst
