Time of the event,Duration of the event,Event type
10013, 1, switch to kernel mode
10014, 20, context saved
10034, 1, find vector 4 in memory position 0x0008
10035, 1, load address 0X0292 into the PC
10036, 250, call device driver
10286, 20, Context switch
10306, 1, Execute IRET
10307, 100, CPU burst
10407, 1, switch to kernel mode
10408, 20, context saved
10428, 1, find vector 4 in memory position 0x0008
10429, 1, load address 0X0292 into the PC
10430, 250, Store information in memory
10680, 20, Context switch
10700, 1, Execute IRET
10701, 73, CPU burst
10774, 1, switch to kernel mode
10775, 20, context saved
10795, 1, find vector 11 in memory position 0x0016
10796, 1, load address 0X01F8 into the PC
10797, 523, call device driver
11320, 20, Context switch
11340, 1, Execute IRET
11341, 18, CPU burst
11359, 1, switch to kernel mode
11360, 20, context saved
11380, 1, find vector 11 in memory position 0x0016
11381, 1, load address 0X01F8 into the PC
11382, 523, Store information in memory
11905, 20, Context switch
11925, 1, Execute IRET
11926, 34, CPU burst
11960, 1, switch to kernel mode
11961, 20, context saved
11981, 1, find vector 4 in memory position 0x0008
11982, 1, load address 0X0292 into the PC
11983, 250, call device driver
12233, 20, Context switch
12253, 1, Execute IRET
12254, 65, CPU burst
12319, 1, switch to kernel mode
12320, 20, context saved
12340, 1, find vector 4 in memory position 0x0008
12341, 1, load address 0X0292 into the PC
12342, 250, Store information in memory
12592, 20, Context switch
12612, 1, Execute IRET
12613, 77, CPU burst
12690, 1, switch to kernel mode
12691, 20, context saved
12711, 1, find vector 15 in memory position 0x001E
12712, 1, load address 0X0584 into the PC
12713, 68, call device driver
12781, 20, Context switch
12801, 1, Execute IRET
12802, 31, CPU burst
12833, 1, switch to kernel mode
12834, 20, context saved
12854, 1, find vector 15 in memory position 0x001E
12855, 1, load address 0X0584 into the PC
12856, 68, Store information in memory
12924, 20, Context switch
12944, 1, Execute IRET
12945, 18, CPU burst
12963, 1, switch to kernel mode
12964, 20, context saved
12984, 1, find vector 6 in memory position 0x000C
12985, 1, load address 0X0639 into the PC
12986, 265, call device driver
13251, 20, Context switch
13271, 1, Execute IRET
13272, 84, CPU burst
13356, 1, switch to kernel mode
13357, 20, context saved
13377, 1, find vector 6 in memory position 0x000C
13378, 1, load address 0X0639 into the PC
13379, 265, Store information in memory
13644, 20, Context switch
13664, 1, Execute IRET
13665, 39, CPU burst
13704, 1, switch to kernel mode
13705, 20, context saved
13725, 1, find vector 6 in memory position 0x000C
13726, 1, load address 0X0639 into the PC
13727, 265, call device driver
13992, 20, Context switch
14012, 1, Execute IRET
14013, 41, CPU burst
14054, 1, switch to kernel mode
14055, 20, context saved
14075, 1, find vector 6 in memory position 0x000C
14076, 1, load address 0X0639 into the PC
14077, 265, Store information in memory
14342, 20, Context switch
14362, 1, Execute IRET
14363, 95, CPU burst
14458, 1, switch to kernel mode
14459, 20, context saved
14479, 1, find vector 14 in memory position 0x001C
14480, 1, load address 0X0165 into the PC
14481, 456, call device driver
14937, 20, Context switch
14957, 1, Execute IRET
14958, 16, CPU burst
14974, 1, switch to kernel mode
14975, 20, context saved
14995, 1, find vector 14 in memory position 0x001C
14996, 1, load address 0X0165 into the PC
14997, 456, Store information in memory
15453, 20, Context switch
15473, 1, Execute IRET
15474, 24, CPU burst
15498, 1, switch to kernel mode
15499, 20, context saved
15519, 1, find vector 2 in memory position 0x0004
15520, 1, load address 0X0695 into the PC
15521, 150, call device driver
15671, 20, Context switch
15691, 1, Execute IRET
15692, 26, CPU burst
15718, 1, switch to kernel mode
15719, 20, context saved
15739, 1, find vector 2 in memory position 0x0004
15740, 1, load address 0X0695 into the PC
15741, 150, Store information in memory
15891, 20, Context switch
15911, 1, Execute IRET
15912, 90, CPU burst
16002, 1, switch to kernel mode
16003, 20, context saved
16023, 1, find vector 15 in memory position 0x001E
16024, 1, load address 0X0584 into the PC
16025, 68, call device driver
16093, 20, Context switch
16113, 1, Execute IRET
16114, 76, CPU burst
16190, 1, switch to kernel mode
16191, 20, context saved
16211, 1, find vector 15 in memory position 0x001E
16212, 1, load address 0X0584 into the PC
16213, 68, Store information in memory
16281, 20, Context switch
16301, 1, Execute IRET
16302, 37, CPU burst
16339, 1, switch to kernel mode
16340, 20, context saved
16360, 1, find vector 14 in memory position 0x001C
16361, 1, load address 0X0165 into the PC
16362, 456, call device driver
16818, 20, Context switch
16838, 1, Execute IRET
16839, 28, CPU burst
16867, 1, switch to kernel mode
16868, 20, context saved
16888, 1, find vector 14 in memory position 0x001C
16889, 1, load address 0X0165 into the PC
16890, 456, Store information in memory
17346, 20, Context switch
17366, 1, Execute IRET
17367, 92, CPU burst
17459, 1, switch to kernel mode
17460, 20, context saved
17480, 1, find vector 19 in memory position 0x0026
17481, 1, load address 0X0765 into the PC
17482, 652, call device driver
18134, 20, Context switch
18154, 1, Execute IRET
18155, 24, CPU burst
18179, 1, switch to kernel mode
18180, 20, context saved
18200, 1, find vector 19 in memory position 0x0026
18201, 1, load address 0X0765 into the PC
18202, 652, Store information in memory
18854, 20, Context switch
18874, 1, Execute IRET
18875, 74, CPU burst
18949, 1, switch to kernel mode
18950, 20, context saved
18970, 1, find vector 16 in memory position 0x0020
18971, 1, load address 0X02DF into the PC
18972, 956, call device driver
19928, 20, Context switch
19948, 1, Execute IRET
19949, 11, CPU burst
19960, 1, switch to kernel mode
19961, 20, context saved
19981, 1, find vector 16 in memory position 0x0020
19982, 1, load address 0X02DF into the PC
19983, 956, Store information in memory
20939, 20, Context switch
20959, 1, Execute IRET
20960, 26, CPU burst
20986, 1, switch to kernel mode
20987, 20, context saved
21007, 1, find vector 1 in memory position 0x0002
21008, 1, load address 0X029C into the PC
21009, 100, call device driver
21109, 20, Context switch
21129, 1, Execute IRET
21130, 55, CPU burst
21185, 1, switch to kernel mode
21186, 20, context saved
21206, 1, find vector 1 in memory position 0x0002
21207, 1, load address 0X029C into the PC
21208, 100, Store information in memory
21308, 20, Context switch
21328, 1, Execute IRET
21329, 43, CPU burst
21372, 1, switch to kernel mode
21373, 20, context saved
21393, 1, find vector 19 in memory position 0x0026
21394, 1, load address 0X0765 into the PC
21395, 652, call device driver
22047, 20, Context switch
22067, 1, Execute IRET
22068, 80, CPU burst
22148, 1, switch to kernel mode
22149, 20, context saved
22169, 1, find vector 19 in memory position 0x0026
22170, 1, load address 0X0765 into the PC
22171, 652, Store information in memory
22823, 20, Context switch
22843, 1, Execute IRET
22844, 95, CPU burst
22939, 1, switch to kernel mode
22940, 20, context saved
22960, 1, find vector 1 in memory position 0x0002
22961, 1, load address 0X029C into the PC
22962, 100, call device driver
23062, 20, Context switch
23082, 1, Execute IRET
23083, 98, CPU burst
23181, 1, switch to kernel mode
23182, 20, context saved
23202, 1, find vector 1 in memory position 0x0002
23203, 1, load address 0X029C into the PC
23204, 100, Store information in memory
23304, 20, Context switch
23324, 1, Execute IRET
23325, 47, CPU burst
23372, 1, switch to kernel mode
23373, 20, context saved
23393, 1, find vector 8 in memory position 0x0010
23394, 1, load address 0X06EF into the PC
23395, 1000, call device driver
24395, 20, Context switch
24415, 1, Execute IRET
24416, 20, CPU burst
24436, 1, switch to kernel mode
24437, 20, context saved
24457, 1, find vector 8 in memory position 0x0010
24458, 1, load address 0X06EF into the PC
24459, 1000, Store information in memory
25459, 20, Context switch
25479, 1, Execute IRET
25480, 29, CPU burst
25509, 1, switch to kernel mode
25510, 20, context saved
25530, 1, find vector 20 in memory position 0x0028
25531, 1, load address 0X07B7 into the PC
25532, 0, call device driver
25532, 20, Context switch
25552, 1, Execute IRET
25553, 99, CPU burst
25652, 1, switch to kernel mode
25653, 20, context saved
25673, 1, find vector 20 in memory position 0x0028
25674, 1, load address 0X07B7 into the PC
25675, 0, Store information in memory
25675, 20, Context switch
25695, 1, Execute IRET
25696, 38, CPU burst
25734, 1, switch to kernel mode
25735, 20, context saved
25755, 1, find vector 19 in memory position 0x0026
25756, 1, load address 0X0765 into the PC
25757, 652, call device driver
26409, 20, Context switch
26429, 1, Execute IRET
26430, 75, CPU burst
26505, 1, switch to kernel mode
26506, 20, context saved
26526, 1, find vector 19 in memory position 0x0026
26527, 1, load address 0X0765 into the PC
26528, 652, Store information in memory
27180, 20, Context switch
27200, 1, Execute IRET
27201, 16, CPU burst
27217, 1, switch to kernel mode
27218, 20, context saved
27238, 1, find vector 4 in memory position 0x0008
27239, 1, load address 0X0292 into the PC
27240, 250, call device driver
27490, 20, Context switch
27510, 1, Execute IRET
27511, 23, CPU burst
27534, 1, switch to kernel mode
27535, 20, context saved
27555, 1, find vector 4 in memory position 0x0008
27556, 1, load address 0X0292 into the PC
27557, 250, Store information in memory
27807, 20, Context switch
27827, 1, Execute IRET
27828, 47, CPU burst
27875, 1, switch to kernel mode
27876, 20, context saved
27896, 1, find vector 11 in memory position 0x0016
27897, 1, load address 0X01F8 into the PC
27898, 523, call device driver
28421, 20, Context switch
28441, 1, Execute IRET
28442, 17, CPU burst
28459, 1, switch to kernel mode
28460, 20, context saved
28480, 1, find vector 11 in memory position 0x0016
28481, 1, load address 0X01F8 into the PC
28482, 523, Store information in memory
29005, 20, Context switch
29025, 1, Execute IRET
29026, 39, CPU burst
29065, 1, switch to kernel mode
29066, 20, context saved
29086, 1, find vector 19 in memory position 0x0026
29087, 1, load address 0X0765 into the PC
29088, 652, call device driver
29740, 20, Context switch
29760, 1, Execute IRET
29761, 48, CPU burst
29809, 1, switch to kernel mode
29810, 20, context saved
29830, 1, find vector 19 in memory position 0x0026
29831, 1, load address 0X0765 into the PC
29832, 652, Store information in memory
30484, 20, Context switch
30504, 1, Execute IRET
30505, 45, CPU burst
30550, 1, switch to kernel mode
30551, 20, context saved
30571, 1, find vector 12 in memory position 0x0018
30572, 1, load address 0X03B9 into the PC
30573, 145, call device driver
30718, 20, Context switch
30738, 1, Execute IRET
30739, 83, CPU burst
30822, 1, switch to kernel mode
30823, 20, context saved
30843, 1, find vector 12 in memory position 0x0018
30844, 1, load address 0X03B9 into the PC
30845, 145, Store information in memory
30990, 20, Context switch
31010, 1, Execute IRET
31011, 68, CPU burst
31079, 1, switch to kernel mode
31080, 20, context saved
31100, 1, find vector 20 in memory position 0x0028
31101, 1, load address 0X07B7 into the PC
31102, 0, call device driver
31102, 20, Context switch
31122, 1, Execute IRET
31123, 100, CPU burst
31223, 1, switch to kernel mode
31224, 20, context saved
31244, 1, find vector 20 in memory position 0x0028
31245, 1, load address 0X07B7 into the PC
31246, 0, Store information in memory
31246, 20, Context switch
31266, 1, Execute IRET
31267, 61, CPU burst
31328, 1, switch to kernel mode
31329, 20, context saved
31349, 1, find vector 11 in memory position 0x0016
31350, 1, load address 0X01F8 into the PC
31351, 523, call device driver
31874, 20, Context switch
31894, 1, Execute IRET
31895, 96, CPU burst
31991, 1, switch to kernel mode
31992, 20, context saved
32012, 1, find vector 11 in memory position 0x0016
32013, 1, load address 0X01F8 into the PC
32014, 523, Store information in memory
32537, 20, Context switch
32557, 1, Execute IRET
32558, 88, CPU burst
32646, 1, switch to kernel mode
32647, 20, context saved
32667, 1, find vector 2 in memory position 0x0004
32668, 1, load address 0X0695 into the PC
32669, 150, call device driver
32819, 20, Context switch
32839, 1, Execute IRET
32840, 42, CPU burst
32882, 1, switch to kernel mode
32883, 20, context saved
32903, 1, find vector 2 in memory position 0x0004
32904, 1, load address 0X0695 into the PC
32905, 150, Store information in memory
33055, 20, Context switch
33075, 1, Execute IRET
33076, 41, CPU burst
33117, 1, switch to kernel mode
33118, 20, context saved
33138, 1, find vector 3 in memory position 0x0006
33139, 1, load address 0X042B into the PC
33140, 300, call device driver
33440, 20, Context switch
33460, 1, Execute IRET
33461, 73, CPU burst
33534, 1, switch to kernel mode
33535, 20, context saved
33555, 1, find vector 3 in memory position 0x0006
33556, 1, load address 0X042B into the PC
33557, 300, Store information in memory
33857, 20, Context switch
33877, 1, Execute IRET
33878, 52, CPU burst
