Time of the event,Duration of the event,Event type
0, 86, CPU burst
86, 1, switch to kernel mode
87, 10, context saved
97, 1, find vector 9 in memory position 0x0012
98, 1, load address 0X036C into the PC
99, 156, call device driver
255, 10, Context switch
265, 1, Execute IRET
266, 61, CPU burst
327, 1, switch to kernel mode
328, 10, context saved
338, 1, find vector 9 in memory position 0x0012
339, 1, load address 0X036C into the PC
340, 156, Store information in memory
496, 10, Context switch
506, 1, Execute IRET
507, 27, CPU burst
534, 1, switch to kernel mode
535, 10, context saved
545, 1, find vector 17 in memory position 0x0022
546, 1, load address 0X05B3 into the PC
547, 235, call device driver
782, 10, Context switch
792, 1, Execute IRET
793, 19, CPU burst
812, 1, switch to kernel mode
813, 10, context saved
823, 1, find vector 17 in memory position 0x0022
824, 1, load address 0X05B3 into the PC
825, 235, Store information in memory
1060, 10, Context switch
1070, 1, Execute IRET
1071, 92, CPU burst
1163, 1, switch to kernel mode
1164, 10, context saved
1174, 1, find vector 8 in memory position 0x0010
1175, 1, load address 0X06EF into the PC
1176, 1000, call device driver
2176, 10, Context switch
2186, 1, Execute IRET
2187, 36, CPU burst
2223, 1, switch to kernel mode
2224, 10, context saved
2234, 1, find vector 8 in memory position 0x0010
2235, 1, load address 0X06EF into the PC
2236, 1000, Store information in memory
3236, 10, Context switch
3246, 1, Execute IRET
3247, 19, CPU burst
3266, 1, switch to kernel mode
3267, 10, context saved
3277, 1, find vector 1 in memory position 0x0002
3278, 1, load address 0X029C into the PC
3279, 100, call device driver
3379, 10, Context switch
3389, 1, Execute IRET
3390, 33, CPU burst
3423, 1, switch to kernel mode
3424, 10, context saved
3434, 1, find vector 1 in memory position 0x0002
3435, 1, load address 0X029C into the PC
3436, 100, Store information in memory
3536, 10, Context switch
3546, 1, Execute IRET
3547, 90, CPU burst
3637, 1, switch to kernel mode
3638, 10, context saved
3648, 1, find vector 20 in memory position 0x0028
3649, 1, load address 0X07B7 into the PC
3650, 0, call device driver
3650, 10, Context switch
3660, 1, Execute IRET
3661, 13, CPU burst
3674, 1, switch to kernel mode
3675, 10, context saved
3685, 1, find vector 20 in memory position 0x0028
3686, 1, load address 0X07B7 into the PC
3687, 0, Store information in memory
3687, 10, Context switch
3697, 1, Execute IRET
3698, 12, CPU burst
3710, 1, switch to kernel mode
3711, 10, context saved
3721, 1, find vector 13 in memory position 0x001A
3722, 1, load address 0X06C7 into the PC
3723, 636, call device driver
4359, 10, Context switch
4369, 1, Execute IRET
4370, 23, CPU burst
4393, 1, switch to kernel mode
4394, 10, context saved
4404, 1, find vector 13 in memory position 0x001A
4405, 1, load address 0X06C7 into the PC
4406, 636, Store information in memory
5042, 10, Context switch
5052, 1, Execute IRET
5053, 51, CPU burst
5104, 1, switch to kernel mode
5105, 10, context saved
5115, 1, find vector 10 in memory position 0x0014
5116, 1, load address 0X07B0 into the PC
5117, 564, call device driver
5681, 10, Context switch
5691, 1, Execute IRET
5692, 49, CPU burst
5741, 1, switch to kernel mode
5742, 10, context saved
5752, 1, find vector 10 in memory position 0x0014
5753, 1, load address 0X07B0 into the PC
5754, 564, Store information in memory
6318, 10, Context switch
6328, 1, Execute IRET
6329, 87, CPU burst
6416, 1, switch to kernel mode
6417, 10, context saved
6427, 1, find vector 5 in memory position 0x000A
6428, 1, load address 0X048B into the PC
6429, 211, call device driver
6640, 10, Context switch
6650, 1, Execute IRET
6651, 55, CPU burst
6706, 1, switch to kernel mode
6707, 10, context saved
