Time of the event,Duration of the event,Event type
0, 14, CPU burst
14, 1, switch to kernel mode
15, 10, context saved
25, 1, find vector 5 in memory position 0x000A
26, 1, load address 0X048B into the PC
27, 211, call device driver
238, 10, Context switch
248, 1, Execute IRET
249, 78, CPU burst
327, 1, switch to kernel mode
328, 10, context saved
338, 1, find vector 5 in memory position 0x000A
339, 1, load address 0X048B into the PC
340, 211, Store information in memory
551, 10, Context switch
561, 1, Execute IRET
562, 84, CPU burst
646, 1, switch to kernel mode
647, 10, context saved
657, 1, find vector 16 in memory position 0x0020
658, 1, load address 0X02DF into the PC
659, 956, call device driver
1615, 10, Context switch
1625, 1, Execute IRET
1626, 70, CPU burst
1696, 1, switch to kernel mode
1697, 10, context saved
1707, 1, find vector 16 in memory position 0x0020
1708, 1, load address 0X02DF into the PC
1709, 956, Store information in memory
2665, 10, Context switch
2675, 1, Execute IRET
2676, 35, CPU burst
2711, 1, switch to kernel mode
2712, 10, context saved
2722, 1, find vector 9 in memory position 0x0012
2723, 1, load address 0X036C into the PC
2724, 156, call device driver
2880, 10, Context switch
2890, 1, Execute IRET
2891, 51, CPU burst
2942, 1, switch to kernel mode
2943, 10, context saved
2953, 1, find vector 9 in memory position 0x0012
2954, 1, load address 0X036C into the PC
2955, 156, Store information in memory
3111, 10, Context switch
3121, 1, Execute IRET
3122, 72, CPU burst
3194, 1, switch to kernel mode
3195, 10, context saved
3205, 1, find vector 2 in memory position 0x0004
3206, 1, load address 0X0695 into the PC
3207, 150, call device driver
3357, 10, Context switch
3367, 1, Execute IRET
3368, 99, CPU burst
3467, 1, switch to kernel mode
3468, 10, context saved
3478, 1, find vector 2 in memory position 0x0004
3479, 1, load address 0X0695 into the PC
3480, 150, Store information in memory
3630, 10, Context switch
3640, 1, Execute IRET
3641, 69, CPU burst
3710, 1, switch to kernel mode
3711, 10, context saved
3721, 1, find vector 11 in memory position 0x0016
3722, 1, load address 0X01F8 into the PC
3723, 523, call device driver
4246, 10, Context switch
4256, 1, Execute IRET
4257, 70, CPU burst
4327, 1, switch to kernel mode
4328, 10, context saved
4338, 1, find vector 11 in memory position 0x0016
4339, 1, load address 0X01F8 into the PC
4340, 523, Store information in memory
4863, 10, Context switch
4873, 1, Execute IRET
4874, 62, CPU burst
4936, 1, switch to kernel mode
4937, 10, context saved
4947, 1, find vector 19 in memory position 0x0026
4948, 1, load address 0X0765 into the PC
4949, 652, call device driver
5601, 10, Context switch
5611, 1, Execute IRET
5612, 34, CPU burst
5646, 1, switch to kernel mode
5647, 10, context saved
5657, 1, find vector 19 in memory position 0x0026
5658, 1, load address 0X0765 into the PC
5659, 652, Store information in memory
6311, 10, Context switch
6321, 1, Execute IRET
6322, 85, CPU burst
6407, 1, switch to kernel mode
6408, 10, context saved
6418, 1, find vector 15 in memory position 0x001E
6419, 1, load address 0X0584 into the PC
6420, 68, call device driver
6488, 10, Context switch
6498, 1, Execute IRET
6499, 73, CPU burst
6572, 1, switch to kernel mode
6573, 10, context saved
6583, 1, find vector 15 in memory position 0x001E
6584, 1, load address 0X0584 into the PC
6585, 68, Store information in memory
6653, 10, Context switch
6663, 1, Execute IRET
6664, 26, CPU burst
6690, 1, switch to kernel mode
6691, 10, context saved
6701, 1, find vector 10 in memory position 0x0014
6702, 1, load address 0X07B0 into the PC
6703, 564, call device driver
7267, 10, Context switch
7277, 1, Execute IRET
7278, 89, CPU burst
7367, 1, switch to kernel mode
7368, 10, context saved
7378, 1, find vector 10 in memory position 0x0014
7379, 1, load address 0X07B0 into the PC
7380, 564, Store information in memory
7944, 10, Context switch
7954, 1, Execute IRET
7955, 15, CPU burst
7970, 1, switch to kernel mode
7971, 10, context saved
7981, 1, find vector 7 in memory position 0x000E
7982, 1, load address 0X00BD into the PC
7983, 152, call device driver
8135, 10, Context switch
8145, 1, Execute IRET
8146, 24, CPU burst
8170, 1, switch to kernel mode
8171, 10, context saved
8181, 1, find vector 7 in memory position 0x000E
8182, 1, load address 0X00BD into the PC
8183, 152, Store information in memory
8335, 10, Context switch
8345, 1, Execute IRET
8346, 23, CPU burst
8369, 1, switch to kernel mode
8370, 10, context saved
8380, 1, find vector 10 in memory position 0x0014
8381, 1, load address 0X07B0 into the PC
8382, 564, call device driver
8946, 10, Context switch
8956, 1, Execute IRET
8957, 57, CPU burst
9014, 1, switch to kernel mode
9015, 10, context saved
9025, 1, find vector 10 in memory position 0x0014
9026, 1, load address 0X07B0 into the PC
9027, 564, Store information in memory
9591, 10, Context switch
9601, 1, Execute IRET
9602, 11, CPU burst
